All statistics are based on contigs of size >= 400 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                        uniq_contigs_contigs_contigs_contigs_contigs
# misassemblies                                 2                                           
  # contig misassemblies                        2                                           
    # c. relocations                            2                                           
    # c. translocations                         0                                           
    # c. inversions                             0                                           
  # scaffold misassemblies                      0                                           
    # s. relocations                            0                                           
    # s. translocations                         0                                           
    # s. inversions                             0                                           
# misassembled contigs                          2                                           
Misassembled contigs length                     6813834                                     
# local misassemblies                           0                                           
# scaffold gap ext. mis.                        0                                           
# scaffold gap loc. mis.                        0                                           
# misassemblies caused by fragmented reference  0                                           
# possible TEs                                  0                                           
# unaligned mis. contigs                        0                                           
# mismatches                                    82                                          
# indels                                        41                                          
    # indels (<= 5 bp)                          36                                          
    # indels (> 5 bp)                           5                                           
Indels length                                   725                                         
