Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# misassemblies caused by fragmented reference	# possible TEs	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
ref	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hifiasm_0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
siga_0000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hifiasm_0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
siga_0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2
hifiasm_0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
siga_0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	3	0	3
hifiasm_0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
siga_0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	4
hifiasm_0100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	12	0	14
siga_0100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	149	148	1	22885
