All statistics are based on contigs of size >= 400 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     ref         hifiasm_0000  siga_0000   hifiasm_0003  siga_0003   hifiasm_0015  siga_0015   hifiasm_0030  siga_0030   hifiasm_0100  siga_0100 
# contigs (>= 0 bp)          5           5             5           5             7           5             7           5             6           5             12        
# contigs (>= 1000 bp)       5           5             5           5             7           5             7           5             6           5             12        
# contigs (>= 5000 bp)       5           5             5           5             7           5             7           5             6           5             12        
# contigs (>= 10000 bp)      5           5             5           5             6           5             7           5             6           5             10        
# contigs (>= 25000 bp)      5           5             5           5             5           5             5           5             5           5             5         
# contigs (>= 50000 bp)      5           5             5           5             5           5             5           5             5           5             5         
Total length (>= 0 bp)       55808983    55807977      55807977    55806379      55828053    55807890      55837237    55807593      55823569    55807277      55924712  
Total length (>= 1000 bp)    55808983    55807977      55807977    55806379      55828053    55807890      55837237    55807593      55823569    55807277      55924712  
Total length (>= 5000 bp)    55808983    55807977      55807977    55806379      55828053    55807890      55837237    55807593      55823569    55807277      55924712  
Total length (>= 10000 bp)   55808983    55807977      55807977    55806379      55818728    55807890      55837237    55807593      55823569    55807277      55907925  
Total length (>= 25000 bp)   55808983    55807977      55807977    55806379      55806379    55807890      55807890    55807593      55807593    55807277      55830011  
Total length (>= 50000 bp)   55808983    55807977      55807977    55806379      55806379    55807890      55807890    55807593      55807593    55807277      55830011  
# contigs                    5           5             5           5             7           5             7           5             6           5             12        
Largest contig               31387201    31387058      31387058    31386334      31386334    31386968      31386968    31387150      31387150    31386898      31409632  
Total length                 55808983    55807977      55807977    55806379      55828053    55807890      55837237    55807593      55823569    55807277      55924712  
Reference length             59128983    59128983      59128983    59128983      59128983    59128983      59128983    59128983      59128983    59128983      59128983  
GC (%)                       48.36       48.36         48.36       48.36         48.36       48.36         48.37       48.36         48.36       48.36         48.37     
Reference GC (%)             48.36       48.36         48.36       48.36         48.36       48.36         48.36       48.36         48.36       48.36         48.36     
N50                          31387201    31387058      31387058    31386334      31386334    31386968      31386968    31387150      31387150    31386898      31409632  
NG50                         31387201    31387058      31387058    31386334      31386334    31386968      31386968    31387150      31387150    31386898      31409632  
N75                          11786217    11786170      11786170    11785892      11785892    11786090      11786090    11786063      11786063    11786034      11786034  
NG75                         7286004     7285498       7285498     7285410       7285410     7285749       7285749     7285763       7285763     7285567       7285567   
L50                          1           1             1           1             1           1             1           1             1           1             1         
LG50                         1           1             1           1             1           1             1           1             1           1             1         
L75                          2           2             2           2             2           2             2           2             2           2             2         
LG75                         3           3             3           3             3           3             3           3             3           3             3         
# misassemblies              0           0             0           0             0           0             0           0             0           0             0         
# misassembled contigs       0           0             0           0             0           0             0           0             0           0             0         
Misassembled contigs length  0           0             0           0             0           0             0           0             0           0             0         
# local misassemblies        0           0             0           0             0           0             0           0             0           0             0         
# scaffold gap ext. mis.     0           0             0           0             0           0             0           0             0           0             0         
# scaffold gap loc. mis.     0           0             0           0             0           0             0           0             0           0             0         
# possible TEs               0           0             0           0             0           0             0           0             0           0             0         
# unaligned mis. contigs     0           0             0           0             0           0             0           0             0           0             0         
# unaligned contigs          0 + 0 part  0 + 0 part    0 + 0 part  0 + 0 part    0 + 0 part  0 + 0 part    0 + 0 part  0 + 0 part    0 + 0 part  0 + 0 part    0 + 0 part
Unaligned length             0           0             0           0             0           0             0           0             0           0             0         
Genome fraction (%)          100.000     99.998        99.998      99.995        99.995      99.998        99.998      99.997        99.997      99.997        99.997    
Duplication ratio            1.000       1.000         1.000       1.000         1.000       1.000         1.001       1.000         1.000       1.000         1.002     
# N's per 100 kbp            0.00        0.00          0.00        0.00          0.00        0.00          0.00        0.00          0.00        0.00          0.00      
# mismatches per 100 kbp     0.00        0.00          0.00        0.00          0.00        0.00          0.01        0.00          0.00        0.01          0.16      
# indels per 100 kbp         0.00        0.00          0.00        0.00          0.00        0.00          0.01        0.00          0.01        0.02          0.27      
Largest alignment            31387201    31387058      31387058    31386334      31386334    31386968      31386968    31387150      31387150    31386898      31409632  
Total aligned length         55808983    55807977      55807977    55806379      55828053    55807890      55837237    55807575      55823551    55807241      55924648  
NA50                         31387201    31387058      31387058    31386334      31386334    31386968      31386968    31387150      31387150    31386898      31409632  
NGA50                        31387201    31387058      31387058    31386334      31386334    31386968      31386968    31387150      31387150    31386898      31409632  
NA75                         11786217    11786170      11786170    11785892      11785892    11786090      11786090    11786045      11786045    11786034      11786034  
NGA75                        7286004     7285498       7285498     7285410       7285410     7285749       7285749     7285763       7285763     7285555       7285555   
LA50                         1           1             1           1             1           1             1           1             1           1             1         
LGA50                        1           1             1           1             1           1             1           1             1           1             1         
LA75                         2           2             2           2             2           2             2           2             2           2             2         
LGA75                        3           3             3           3             3           3             3           3             3           3             3         
