92 <- #Model:106, #Native structure:93
1/92: T1024-D1
T1024-D1 tmscore=0.956
T1024-D1 length=193
T1024-D1 gdt=0.908
2/92: T1024-D2
T1024-D2 tmscore=0.953
T1024-D2 length=204
T1024-D2 gdt=0.894
3/92: T1025-D1
T1025-D1 tmscore=0.903
T1025-D1 length=257
T1025-D1 gdt=0.839
4/92: T1026-D1
T1026-D1 tmscore=0.955
T1026-D1 length=146
T1026-D1 gdt=0.938
5/92: T1027-D1
T1027-D1 tmscore=0.258
T1027-D1 length=99
T1027-D1 gdt=0.29
6/92: T1028-D1
T1028-D1 tmscore=0.659
T1028-D1 length=292
T1028-D1 gdt=0.476
7/92: T1029-D1
T1029-D1 tmscore=0.921
T1029-D1 length=125
T1029-D1 gdt=0.888
8/92: T1030-D1
T1030-D1 tmscore=0.852
T1030-D1 length=154
T1030-D1 gdt=0.756
9/92: T1030-D2
T1030-D2 tmscore=0.744
T1030-D2 length=119
T1030-D2 gdt=0.746
10/92: T1031-D1
T1031-D1 tmscore=0.911
T1031-D1 length=95
T1031-D1 gdt=0.895
11/92: T1032-D1
T1032-D1 tmscore=0.89
T1032-D1 length=170
T1032-D1 gdt=0.799
12/92: T1033-D1
T1033-D1 tmscore=0.558
T1033-D1 length=100
T1033-D1 gdt=0.51
13/92: T1034-D1
T1034-D1 tmscore=0.956
T1034-D1 length=156
T1034-D1 gdt=0.929
14/92: T1035-D1
T1035-D1 tmscore=0.678
T1035-D1 length=102
T1035-D1 gdt=0.64
15/92: T1036s1-D1
T1036s1-D1 tmscore=0.183
T1036s1-D1 length=621
T1036s1-D1 gdt=0.056
16/92: T1037-D1
T1037-D1 tmscore=0.288
T1037-D1 length=404
T1037-D1 gdt=0.118
17/92: T1038-D1
T1038-D1 tmscore=0.849
T1038-D1 length=114
T1038-D1 gdt=0.803
18/92: T1038-D2
T1038-D2 tmscore=0.783
T1038-D2 length=76
T1038-D2 gdt=0.786
19/92: T1039-D1
T1039-D1 tmscore=0.565
T1039-D1 length=161
T1039-D1 gdt=0.453
20/92: T1040-D1
T1040-D1 tmscore=0.496
T1040-D1 length=130
T1040-D1 gdt=0.413
21/92: T1041-D1
T1041-D1 tmscore=0.934
T1041-D1 length=242
T1041-D1 gdt=0.83
22/92: T1042-D1
T1042-D1 tmscore=0.494
T1042-D1 length=276
T1042-D1 gdt=0.372
23/92: T1043-D1
T1043-D1 tmscore=0.822
T1043-D1 length=148
T1043-D1 gdt=0.713
24/92: T1045s1-D1
T1045s1-D1 tmscore=0.898
T1045s1-D1 length=154
T1045s1-D1 gdt=0.815
25/92: T1045s2-D1
T1045s2-D1 tmscore=0.695
T1045s2-D1 length=166
T1045s2-D1 gdt=0.59
26/92: T1046s1-D1
