92 <- #Model:106, #Native structure:93
1/92: T1024-D1
T1024-D1 tmscore=0.992
T1024-D1 length=193
T1024-D1 gdt=0.995
2/92: T1024-D2
T1024-D2 tmscore=0.986
T1024-D2 length=204
T1024-D2 gdt=0.985
3/92: T1025-D1
T1025-D1 tmscore=0.972
T1025-D1 length=257
T1025-D1 gdt=0.942
4/92: T1026-D1
T1026-D1 tmscore=0.964
T1026-D1 length=146
T1026-D1 gdt=0.961
5/92: T1027-D1
T1027-D1 tmscore=0.235
T1027-D1 length=99
T1027-D1 gdt=0.232
6/92: T1028-D1
T1028-D1 tmscore=0.711
T1028-D1 length=292
T1028-D1 gdt=0.578
7/92: T1029-D1
T1029-D1 tmscore=0.952
T1029-D1 length=125
T1029-D1 gdt=0.942
8/92: T1030-D1
T1030-D1 tmscore=0.93
T1030-D1 length=154
T1030-D1 gdt=0.881
9/92: T1030-D2
T1030-D2 tmscore=0.872
T1030-D2 length=119
T1030-D2 gdt=0.87
10/92: T1031-D1
T1031-D1 tmscore=0.967
T1031-D1 length=95
T1031-D1 gdt=0.979
11/92: T1032-D1
T1032-D1 tmscore=0.978
T1032-D1 length=170
T1032-D1 gdt=0.971
12/92: T1033-D1
T1033-D1 tmscore=0.883
T1033-D1 length=100
T1033-D1 gdt=0.845
13/92: T1034-D1
T1034-D1 tmscore=0.99
T1034-D1 length=156
T1034-D1 gdt=0.995
14/92: T1035-D1
T1035-D1 tmscore=0.947
T1035-D1 length=102
T1035-D1 gdt=0.936
15/92: T1036s1-D1
T1036s1-D1 tmscore=0.334
T1036s1-D1 length=621
T1036s1-D1 gdt=0.224
16/92: T1037-D1
T1037-D1 tmscore=0.472
T1037-D1 length=404
T1037-D1 gdt=0.3
17/92: T1038-D1
T1038-D1 tmscore=0.946
T1038-D1 length=114
T1038-D1 gdt=0.939
18/92: T1038-D2
T1038-D2 tmscore=0.828
T1038-D2 length=76
T1038-D2 gdt=0.829
19/92: T1039-D1
T1039-D1 tmscore=0.946
T1039-D1 length=161
T1039-D1 gdt=0.922
20/92: T1040-D1
T1040-D1 tmscore=0.545
T1040-D1 length=130
T1040-D1 gdt=0.477
21/92: T1041-D1
T1041-D1 tmscore=0.984
T1041-D1 length=242
T1041-D1 gdt=0.973
22/92: T1042-D1
T1042-D1 tmscore=0.846
T1042-D1 length=276
T1042-D1 gdt=0.701
23/92: T1043-D1
T1043-D1 tmscore=0.978
T1043-D1 length=148
T1043-D1 gdt=0.973
24/92: T1045s1-D1
T1045s1-D1 tmscore=0.939
T1045s1-D1 length=154
T1045s1-D1 gdt=0.898
25/92: T1045s2-D1
T1045s2-D1 tmscore=0.764
T1045s2-D1 length=166
T1045s2-D1 gdt=0.664
26/92: T1046s1-D1
T1046s1-D1 tmscore=0.496
T1046s1-D1 length=72
T1046s1-D1 gdt=0.5
27/92: T1046s2-D1
T1046s2-D1 tmscore=0.988
T1046s2-D1 length=140
T1046s2-D1 gdt=0.991
28/92: T1047s1-D1
T1047s1-D1 tmscore=0.372
T1047s1-D1 length=211
T1047s1-D1 gdt=0.3
29/92: T1047s2-D1
T1047s2-D1 tmscore=0.302
T1047s2-D1 length=147
T1047s2-D1 gdt=0.221
30/92: T1047s2-D2
T1047s2-D2 tmscore=0.599
T1047s2-D2 length=83
T1047s2-D2 gdt=0.642
31/92: T1047s2-D3
T1047s2-D3 tmscore=0.244
T1047s2-D3 length=116
T1047s2-D3 gdt=0.28
32/92: T1049-D1
T1049-D1 tmscore=0.949
T1049-D1 length=134
T1049-D1 gdt=0.951
33/92: T1050-D1
T1050-D1 tmscore=0.665
T1050-D1 length=321
T1050-D1 gdt=0.47
34/92: T1050-D2
T1050-D2 tmscore=0.752
T1050-D2 length=316
T1050-D2 gdt=0.642
35/92: T1050-D3
T1050-D3 tmscore=0.798
T1050-D3 length=128
T1050-D3 gdt=0.744
36/92: T1052-D1
T1052-D1 tmscore=0.424
T1052-D1 length=539
T1052-D1 gdt=0.296
37/92: T1052-D2
T1052-D2 tmscore=0.682
T1052-D2 length=213
T1052-D2 gdt=0.542
38/92: T1052-D3
T1052-D3 tmscore=0.63
T1052-D3 length=80
T1052-D3 gdt=0.644
39/92: T1053-D1
T1053-D1 tmscore=0.173
T1053-D1 length=405
T1053-D1 gdt=0.055
40/92: T1053-D2
T1053-D2 tmscore=0.511
T1053-D2 length=171
T1053-D2 gdt=0.411
41/92: T1054-D1
T1054-D1 tmscore=0.456
T1054-D1 length=143
T1054-D1 gdt=0.43
42/92: T1055-D1
T1055-D1 tmscore=0.461
T1055-D1 length=122
T1055-D1 gdt=0.408
43/92: T1056-D1
T1056-D1 tmscore=0.616
T1056-D1 length=169
T1056-D1 gdt=0.552
44/92: T1057-D1
T1057-D1 tmscore=0.862
T1057-D1 length=246
T1057-D1 gdt=0.748
45/92: T1058-D1
T1058-D1 tmscore=0.269
T1058-D1 length=221
T1058-D1 gdt=0.191
46/92: T1058-D2
T1058-D2 tmscore=0.41
T1058-D2 length=161
T1058-D2 gdt=0.363
47/92: T1060s2-D1
T1060s2-D1 tmscore=0.406
T1060s2-D1 length=297
T1060s2-D1 gdt=0.272
48/92: T1060s3-D1
T1060s3-D1 tmscore=0.211
T1060s3-D1 length=137
T1060s3-D1 gdt=0.165
49/92: T1061-D0
T1061-D0 tmscore=0.163
T1061-D0 length=838
T1061-D0 gdt=0.02
50/92: T1061-D1
T1061-D1 tmscore=0.316
T1061-D1 length=464
T1061-D1 gdt=0.159
51/92: T1061-D2
T1061-D2 tmscore=0.349
T1061-D2 length=271
T1061-D2 gdt=0.21
52/92: T1061-D3
T1061-D3 tmscore=0.693
T1061-D3 length=103
T1061-D3 gdt=0.699
53/92: T1064-D1
T1064-D1 tmscore=0.266
T1064-D1 length=92
T1064-D1 gdt=0.277
54/92: T1065s1-D1
T1065s1-D1 tmscore=0.608
T1065s1-D1 length=119
T1065s1-D1 gdt=0.538
55/92: T1065s2-D1
T1065s2-D1 tmscore=0.83
T1065s2-D1 length=98
T1065s2-D1 gdt=0.793
56/92: T1067-D1
T1067-D1 tmscore=0.558
T1067-D1 length=221
T1067-D1 gdt=0.454
57/92: T1068-D1
T1068-D1 tmscore=0.31
T1068-D1 length=191
T1068-D1 gdt=0.233
58/92: T1070-D1
T1070-D1 tmscore=0.377
T1070-D1 length=76
T1070-D1 gdt=0.391
59/92: T1070-D2
T1070-D2 tmscore=0.652
T1070-D2 length=101
T1070-D2 gdt=0.599
60/92: T1070-D3
T1070-D3 tmscore=0.665
T1070-D3 length=76
T1070-D3 gdt=0.684
61/92: T1070-D4
T1070-D4 tmscore=0.737
T1070-D4 length=68
T1070-D4 gdt=0.768
62/92: T1073-D1
T1073-D1 tmscore=0.767
T1073-D1 length=59
T1073-D1 gdt=0.831
63/92: T1074-D1
T1074-D1 tmscore=0.465
T1074-D1 length=132
T1074-D1 gdt=0.377
64/92: T1076-D1
T1076-D1 tmscore=0.435
T1076-D1 length=540
T1076-D1 gdt=0.315
65/92: T1078-D1
T1078-D1 tmscore=0.545
T1078-D1 length=129
T1078-D1 gdt=0.484
66/92: T1079-D1
T1079-D1 tmscore=0.21
T1079-D1 length=451
T1079-D1 gdt=0.097
67/92: T1080-D1
T1080-D1 tmscore=0.272
T1080-D1 length=133
T1080-D1 gdt=0.203
68/92: T1082-D1
T1082-D1 tmscore=0.435
T1082-D1 length=75
T1082-D1 gdt=0.467
69/92: T1083-D1
T1083-D1 tmscore=0.851
T1083-D1 length=92
T1083-D1 gdt=0.878
70/92: T1084-D1
T1084-D1 tmscore=0.825
T1084-D1 length=71
T1084-D1 gdt=0.859
71/92: T1087-D1
T1087-D1 tmscore=0.783
T1087-D1 length=93
T1087-D1 gdt=0.804
72/92: T1089-D1
T1089-D1 tmscore=0.626
T1089-D1 length=377
T1089-D1 gdt=0.475
73/92: T1090-D1
T1090-D1 tmscore=0.205
T1090-D1 length=191
T1090-D1 gdt=0.126
74/92: T1091-D1
T1091-D1 tmscore=0.779
T1091-D1 length=139
T1091-D1 gdt=0.701
75/92: T1091-D2
T1091-D2 tmscore=0.232
T1091-D2 length=107
T1091-D2 gdt=0.215
76/92: T1091-D3
T1091-D3 tmscore=0.811
T1091-D3 length=106
T1091-D3 gdt=0.79
77/92: T1091-D4
T1091-D4 tmscore=0.906
T1091-D4 length=112
T1091-D4 gdt=0.893
78/92: T1092-D1
T1092-D1 tmscore=0.52
T1092-D1 length=245
T1092-D1 gdt=0.363
79/92: T1092-D2
T1092-D2 tmscore=0.74
T1092-D2 length=181
T1092-D2 gdt=0.605
80/92: T1093-D1
T1093-D1 tmscore=0.272
T1093-D1 length=141
T1093-D1 gdt=0.234
81/92: T1093-D2
T1093-D2 tmscore=0.184
T1093-D2 length=382
T1093-D2 gdt=0.083
82/92: T1093-D3
T1093-D3 tmscore=0.273
T1093-D3 length=106
T1093-D3 gdt=0.229
83/92: T1094-D1
T1094-D1 tmscore=0.281
T1094-D1 length=277
T1094-D1 gdt=0.171
84/92: T1094-D2
T1094-D2 tmscore=0.244
T1094-D2 length=207
T1094-D2 gdt=0.134
85/92: T1095-D1
T1095-D1 tmscore=0.136
T1095-D1 length=649
T1095-D1 gdt=0.024
86/92: T1096-D1
T1096-D1 tmscore=0.384
T1096-D1 length=255
T1096-D1 gdt=0.235
87/92: T1096-D2
T1096-D2 tmscore=0.317
T1096-D2 length=171
T1096-D2 gdt=0.227
88/92: T1099-D1
T1099-D1 tmscore=0.948
T1099-D1 length=178
T1099-D1 gdt=0.895
89/92: T1100-D1
T1100-D1 tmscore=0.566
T1100-D1 length=171
T1100-D1 gdt=0.5
90/92: T1100-D2
T1100-D2 tmscore=0.232
T1100-D2 length=166
T1100-D2 gdt=0.161
91/92: T1101-D1
T1101-D1 tmscore=0.871
T1101-D1 length=83
T1101-D1 gdt=0.889
92/92: T1101-D2
T1101-D2 tmscore=0.799
T1101-D2 length=224
T1101-D2 gdt=0.653
        TM-score  Length     GDT-TS
count  92.000000     0.0  92.000000
mean    0.605163     NaN   0.549707
std     0.273643     NaN   0.302355
min     0.136000     NaN   0.020000
25%     0.345250     NaN   0.262750
50%     0.621000     NaN   0.540000
75%     0.853750     NaN   0.848500
max     0.992000     NaN   0.995000
